tig00000001	NC_018649.1	92.946	204161	13975	315	1204811	1408763	1362640	1566581	0.0	2.968e+05
tig00000001	NC_018649.1	93.034	153964	10408	249	2015344	2169114	2166919	2320758	0.0	2.246e+05
tig00000001	NC_018649.1	99.356	106886	634	38	1740285	1847140	1911439	2018300	0.0	1.935e+05
tig00000001	NC_018649.1	99.464	94831	472	33	1599719	1694528	1802109	1896924	0.0	1.723e+05
tig00000001	NC_018649.1	92.845	103546	7051	245	2280630	2383994	64330	167698	0.0	1.498e+05
tig00000001	NC_018649.1	92.209	101077	7497	252	2384073	2484965	167728	268610	0.0	1.427e+05
tig00000001	NC_018649.1	92.638	94006	6637	174	333712	427554	819744	913628	0.0	1.350e+05
tig00000001	NC_018649.1	96.305	80844	2775	141	1501278	1582049	1702760	1783463	0.0	1.325e+05
tig00000001	NC_018649.1	91.947	80054	6223	163	510434	590397	994894	1074813	0.0	1.119e+05
tig00000001	NC_018649.1	91.240	80547	6616	309	430119	510437	914706	995040	0.0	1.092e+05
tig00000001	NC_018649.1	90.109	65121	6175	215	991248	1056234	1175853	1240841	0.0	84328
tig00000001	NC_018649.1	99.734	45134	109	3	1430111	1475243	1632488	1677611	0.0	82671
tig00000001	NC_018649.1	92.999	46778	3169	74	262718	309456	746699	793409	0.0	68142
tig00000001	NC_018649.1	91.548	46794	3814	113	1847273	1894013	2018494	2065199	0.0	64371
tig00000001	NC_018649.1	92.090	41315	3169	76	644495	685762	1107987	1149249	0.0	58098
tig00000001	NC_018649.1	92.792	39705	2734	110	2526090	2565741	330694	370323	0.0	57348
tig00000001	NC_018649.1	91.255	38180	3150	134	1134866	1172973	1368076	1330014	0.0	51832
tig00000001	NC_018649.1	93.521	34680	2114	86	1926669	1961277	2084113	2118730	0.0	51470
tig00000001	NC_018649.1	91.607	33145	2644	80	2199310	2232388	2373085	2406157	0.0	45668
tig00000001	NC_018649.1	91.121	30273	2564	92	102836	133044	484395	514607	0.0	40898
tig00000001	NC_018649.1	92.027	29035	2187	94	1961277	1990238	2120190	2149169	0.0	40675
tig00000001	NC_018649.1	91.663	28632	2252	84	2169059	2197607	2344508	2373087	0.0	39524
tig00000001	NC_018649.1	93.533	24184	1446	88	1	24117	351372	375504	0.0	35887
tig00000001	NC_018649.1	91.900	24048	1876	49	151302	175312	640669	664681	0.0	33551
tig00000001	NC_018649.1	93.482	22153	1369	54	1118204	1140325	1277261	1299369	0.0	32840
tig00000001	NC_018649.1	92.916	21950	1466	55	27746	49659	386684	408580	0.0	31837
tig00000001	NC_018649.1	94.702	20141	1037	18	1190118	1210246	1314038	1293916	0.0	31255
tig00000001	NC_018649.1	93.061	21286	1351	84	79176	100409	428971	450182	0.0	31010
tig00000001	NC_018649.1	91.621	19454	1550	69	58383	77787	409556	428978	0.0	26821
tig00000001	NC_018649.1	92.868	17540	1173	43	1582042	1599542	1784584	1802084	0.0	25388
tig00000001	NC_018649.1	90.822	19035	1635	80	2261623	2280592	45332	64319	0.0	25370
tig00000001	NC_018649.1	99.546	13443	59	2	1694525	1707966	1898051	1911492	0.0	24485
tig00000001	NC_018649.1	91.395	17699	1484	31	1997563	2015239	2149188	2166869	0.0	24210
tig00000001	NC_018649.1	94.060	15605	904	21	310213	325804	793425	809019	0.0	23660
tig00000001	NC_018649.1	98.329	13405	199	19	1408756	1422146	1569425	1582818	0.0	23490
tig00000001	NC_018649.1	86.827	20967	2613	128	966922	987811	1149201	1170095	0.0	23279
tig00000001	NC_018649.1	91.516	15865	1252	73	593639	609454	1075207	1091026	0.0	21754
